"Data","Criteria","Model","C10%-n150","C10%-n300","C10%-n600","C10%-n900","C20%-n150","C20%-n300","C20%-n600","C20%-n900"
"MCN","AIC","FM-MNC",1653.01,3281.76,6572.18,9857.94,1559.81,3091.41,6188.13,9284.01
"MCN","AIC","FM-MNC",2,0,0,0,1,0,0,0
"MCN","AIC","FM-MCNC",1615.42,3193.74,6365.16,9523.94,1528.64,3019.11,6014.71,9005.96
"MCN","AIC","FM-MCNC",98,100,100,100,99,100,100,100
"MCN","BIC","FM-MNC",1713.22,3355.84,6660.12,9953.13,1620.02,3165.49,6276.07,9379.2
"MCN","BIC","FM-MNC",9,0,0,0,14,0,0,0
"MCN","BIC","FM-MCNC",1687.68,3282.63,6470.69,9638.33,1600.9,3108,6120.24,9120.35
"MCN","BIC","FM-MCNC",91,100,100,100,86,100,100,100
"MN","AIC","FM-MNC",1400.52,2770.41,5521.16,8260.89,1333.22,2638.13,5253.38,7864.45
"MN","AIC","FM-MNC",98,100,99,100,98,100,99,100
"MN","AIC","FM-MCNC",1407.74,2777.69,5528.25,8268.28,1340.42,2645.24,5260.43,7872.1
"MN","AIC","FM-MCNC",2,0,1,0,2,0,1,0
"MN","BIC","FM-MNC",1460.74,2844.49,5609.1,8356.94,1393.43,2712.21,5341.32,7960.5
"MN","BIC","FM-MNC",100,100,100,100,100,100,100,100
"MN","BIC","FM-MCNC",1480,2866.58,5633.77,8383.53,1412.67,2734.13,5365.96,7987.35
"MN","BIC","FM-MCNC",0,0,0,0,0,0,0,0
