"","C10%-n150 SD","C10%-n150 SE","C10%-n300 SD","C10%-n300 SE","C10%-n600 SD","C10%-n600 SE","C10%-n900 SD","C10%-n900 SE","C20%-n150 SD","C20%-n150 SE","C20%-n300 SD","C20%-n300 SE","C20%-n600 SD","C20%-n600 SE","C20%-n900 SD","C20%-n900 SE"
"w 1 ",0.045,0.06,0.03,0.043,0.021,0.03,0.02,0.025,0.046,0.061,0.031,0.043,0.022,0.03,0.02,0.025
"mu1 1 ",0.127,0.133,0.09,0.092,0.067,0.065,0.052,0.053,0.14,0.142,0.101,0.096,0.071,0.069,0.053,0.057
"mu2 1 ",0.127,0.129,0.1,0.088,0.059,0.062,0.052,0.05,0.13,0.131,0.1,0.089,0.06,0.063,0.053,0.051
"mu3 1 ",0.117,0.134,0.08,0.089,0.064,0.063,0.048,0.051,0.13,0.142,0.085,0.096,0.068,0.068,0.051,0.055
"sig11 1 ",0.22,0.231,0.151,0.157,0.109,0.11,0.095,0.09,0.229,0.29,0.178,0.189,0.133,0.135,0.111,0.112
"sig21 1 ",0.118,0.142,0.094,0.096,0.062,0.067,0.054,0.056,0.112,0.153,0.095,0.101,0.068,0.072,0.061,0.06
"sig22 1 ",0.187,0.195,0.127,0.127,0.086,0.089,0.071,0.073,0.189,0.2,0.136,0.131,0.089,0.092,0.07,0.076
"sig31 1 ",0.149,0.152,0.09,0.101,0.071,0.071,0.052,0.058,0.164,0.168,0.099,0.111,0.075,0.079,0.059,0.065
"sig32 1 ",0.126,0.142,0.088,0.094,0.059,0.065,0.044,0.053,0.135,0.149,0.093,0.099,0.061,0.069,0.047,0.057
"sig33 1 ",0.209,0.228,0.143,0.146,0.087,0.103,0.072,0.083,0.235,0.269,0.159,0.176,0.111,0.123,0.09,0.101
"rho 1 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"w 2 ",0.045,0.061,0.03,0.043,0.021,0.03,0.02,0.025,0.046,0.062,0.031,0.043,0.022,0.031,0.02,0.025
"mu1 2 ",0.139,0.14,0.097,0.095,0.068,0.067,0.048,0.054,0.143,0.143,0.101,0.097,0.072,0.068,0.049,0.055
"mu2 2 ",0.118,0.127,0.082,0.088,0.055,0.061,0.043,0.05,0.121,0.132,0.087,0.092,0.06,0.064,0.046,0.053
"mu3 2 ",0.124,0.135,0.092,0.092,0.062,0.063,0.045,0.051,0.128,0.136,0.096,0.093,0.065,0.064,0.048,0.052
"sig11 2 ",0.188,0.22,0.128,0.149,0.086,0.1,0.078,0.079,0.193,0.227,0.133,0.154,0.089,0.103,0.077,0.081
"sig21 2 ",0.133,0.161,0.105,0.108,0.07,0.073,0.059,0.059,0.135,0.17,0.108,0.114,0.071,0.077,0.061,0.063
"sig22 2 ",0.194,0.203,0.143,0.142,0.093,0.096,0.078,0.078,0.218,0.229,0.169,0.16,0.101,0.109,0.094,0.091
"sig31 2 ",0.153,0.175,0.096,0.114,0.073,0.077,0.062,0.062,0.162,0.18,0.1,0.118,0.075,0.08,0.062,0.064
"sig32 2 ",0.149,0.155,0.102,0.105,0.066,0.071,0.053,0.058,0.15,0.163,0.11,0.111,0.07,0.075,0.056,0.061
"sig33 2 ",0.186,0.205,0.113,0.135,0.09,0.091,0.073,0.074,0.191,0.209,0.12,0.139,0.09,0.093,0.072,0.076
"nu 2 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rho 2 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
