"Crate","Size","Model","AIC:g1","AIC:g2","AIC:g3","AIC:g4","BIC:g1","BIC:g2","BIC:g3","BIC:g4"
"10%",150,"FM-MCNR",1427.8,1239.6,1284.83,1290.9,1451.89,1287.77,1357.09,1387.24
"10%",150,"FM-MCNR",0,96,3,1,0,99,1,0
"10%",150,"FM-MCNCR",1398.07,1254.93,1250.23,1256.32,1422.16,1303.1,1322.48,1352.66
"10%",150,"FM-MCNCR",0,28,61,11,0,97,3,0
"10%",300,"FM-MCNR",2848.61,2467.05,2550.87,2554.66,2878.24,2526.31,2639.76,2673.18
"10%",300,"FM-MCNR",0,100,0,0,0,100,0,0
"10%",300,"FM-MCNCR",2788.08,2495.56,2480.89,2487.2,2817.71,2554.82,2569.78,2605.72
"10%",300,"FM-MCNCR",0,6,85,9,0,93,7,0
"10%",600,"FM-MCNR",5689.95,4911.01,5069.54,5071.95,5725.12,4981.37,5175.07,5212.65
"10%",600,"FM-MCNR",0,100,0,0,0,100,0,0
"10%",600,"FM-MCNCR",5568.39,4964.7,4929.5,4936.66,5603.56,5035.05,5035.02,5077.36
"10%",600,"FM-MCNCR",0,0,90,10,0,48,52,0
"10%",900,"FM-MCNR",8512.09,7345.98,7580.64,7568.83,8550.51,7422.81,7695.9,7722.51
"10%",900,"FM-MCNR",0,100,0,0,0,100,0,0
"10%",900,"FM-MCNCR",8332.52,7427.48,7367.52,7376.08,8370.94,7504.32,7482.78,7529.76
"10%",900,"FM-MCNCR",0,0,98,2,0,9,91,0
"20%",150,"FM-MCNR",1399.45,1039.53,1164.75,1196.36,1423.54,1087.7,1237,1292.7
"20%",150,"FM-MCNR",0,84,10,6,0,90,10,0
"20%",150,"FM-MCNCR",1313.85,1183.07,1178.52,1185.05,1337.94,1231.24,1250.77,1281.39
"20%",150,"FM-MCNCR",0,25,68,7,0,97,3,0
"20%",300,"FM-MCNR",2791.84,2008.16,2338.62,2387.54,2821.47,2067.42,2427.51,2506.06
"20%",300,"FM-MCNR",0,74,18,8,0,75,23,2
"20%",300,"FM-MCNCR",2621.41,2352.02,2337.72,2344.6,2651.04,2411.28,2426.61,2463.12
"20%",300,"FM-MCNCR",0,5,87,8,0,93,7,0
"20%",600,"FM-MCNR",5574.61,3825.08,4635.94,4754.14,5609.79,3895.43,4741.47,4894.85
"20%",600,"FM-MCNR",0,81,16,3,0,81,19,0
"20%",600,"FM-MCNCR",5233.63,4675.4,4641.01,4648.2,5268.81,4745.75,4746.53,4788.9
"20%",600,"FM-MCNCR",0,0,92,8,0,53,47,0
"20%",900,"FM-MCNR",8336.75,5946.26,6898.12,7104.59,8375.17,6023.1,7013.38,7258.27
"20%",900,"FM-MCNR",0,70,24,6,0,70,28,2
"20%",900,"FM-MCNCR",7824.76,6988.18,6928.73,6937.57,7863.18,7065.02,7043.99,7091.24
"20%",900,"FM-MCNCR",0,0,97,3,0,10,90,0
