"","FM-MNC","SD","FM-MTC","SD","FM-MCNC","SD"
"w1",0.793179203517122,0.0217086573576598,0.500638117224834,0.115014602346321,0.521587381609691,0.0269419466625082
"mu11",-0.278528703595687,0.0367221324750521,-0.564346939592015,0.0151087019889389,-0.49926139350799,0.0238064262168808
"mu12",-0.30172166889433,0.0430617279578295,-0.61193588837482,0.0126641387614736,-0.561578044804062,0.0170305208794321
"mu13",-0.134301345019632,0.0463464711899346,-0.0868628160473598,0.0519747082192449,0.0739966940843368,0.0707353883846336
"mu14",-0.268857685638284,0.0439637449925358,-0.543646647621393,0.00477997517011439,-0.523847808979131,0.00641251310404256
"sig111",0.160246887248588,0.0179999708827057,0.0244829982790443,0.00426676322356171,0.0455029269454982,0.00598812182119358
"sig121",0.136270266231953,0.0181424011336587,0.0111502972997679,0.00237849526248512,0.0190790670269332,0.00338392007356966
"sig122",0.190244742728573,0.0225253156430059,0.0179337573905074,0.00287790957622555,0.0274660212864815,0.00305615124897236
"sig131",-0.0261119747691256,0.0172138406633208,0.0261162142089923,0.00826729822469766,0.0457098803453471,0.0120754358953294
"sig132",-0.042932347446251,0.0211615536288917,0.0218186707138577,0.00683173915149931,0.0302044337399634,0.00875577869065131
"sig133",0.252329710601059,0.0252971157954633,0.255485301137308,0.043452170045352,0.390864446561743,0.0490860394014707
"sig141",0.121546042817564,0.0172290801746975,0.00353463241094472,0.000809654820790829,0.00561292745111295,0.00104162517725338
"sig142",0.161682088385025,0.0211996872352211,0.00323904721477664,0.00075180139600015,0.00477790387796287,0.000918944036145616
"sig143",-0.0483563628650259,0.0217428761219564,0.00842417702183384,0.00264614622409679,0.00905014712016441,0.00331634459976807
"sig144",0.174391371124669,0.0218043263418446,0.0024739569977944,0.000433706662116156,0.00402021566551394,0.000486191671409336
"nu1",0,0,2.000001,0.224990215498244,0.110521731655355,0.0268612505386332
"rho1",1,0,0,0,0.0312860931775539,0.00400428796525488
"mu21",1.06817933440789,0.321883446559521,0.0585209363349291,0.0473029246295985,0.175877983493297,0.0621278501157232
"mu22",1.15718882393884,0.313326400434029,0.123529867188368,0.0560493340059113,0.270829913491963,0.0723534251225393
"mu23",0.514765354217814,0.757647290900073,-0.414812806610237,0.0157207597137486,-0.395076619505131,0.0185648829016513
"mu24",1.03041907631108,0.305391422467145,0.152975904866893,0.0586669287153212,0.295270449824454,0.0741469377060729
"sig211",2.77103496148058,0.505030274567416,0.255368059329077,0.0391680821780825,0.302186624457943,0.0398970301032721
"sig221",1.43255263869718,0.555345531259534,0.211674614161762,0.0379079672814565,0.239801384725249,0.0382046739192803
"sig222",2.40619666540622,0.694538625626569,0.352111060722572,0.0540076731030923,0.416971174020775,0.0507807724661622
"sig231",0.00524893503863541,0.8629796346767,0.022694930718512,0.0082909956343429,0.020459671572435,0.00906907887152136
"sig232",-0.780079947573807,1.46726244129778,0.0162428247736011,0.0100876314739778,0.0168552707290932,0.0108371606776764
"sig233",3.52261526285671,1.26791653099372,0.0304985403962666,0.00473554587121581,0.0330238008333367,0.00448532180187574
"sig241",1.33903485041856,0.674271152605501,0.1955433301078,0.037187541333802,0.225810806304759,0.0391657865729922
"sig242",2.3374757431696,0.990458913449798,0.318046296199792,0.0516697441647332,0.384731822447283,0.0507122486487982
"sig243",-1.11770372920849,1.73885893965363,0.0142334105023898,0.0097839111087416,0.0146369126294906,0.0105041828920527
"sig244",2.8171271125466,1.33754858256832,0.363081695086665,0.0571405341252938,0.445177556663167,0.0561725256003031
"nu2",0,0,2.30637659708659,0.20566816657124,0.174305817090504,0.0343353729437408
"rho2",1,0,0,0,0.0716693654120214,0.00788718276345554
