"","FM-MNCR(cls1)","SD","FM-MTCR(cls1)","SD","FM-MCNCR(cls1)","SD","FM-MNCR(cls2)","SD","FM-MTCR(cls2)","SD","FM-MCNCR(cls2)","SD"
"w1",0.542979475211524,0.0188828549552788,0.502722478167035,0.0262933157474444,0.529355041978469,0.0192949910936331,0.457020524788476,0,0.497277521832965,0,0.470644958021531,0
"beta.i11",-0.0838294585596055,0.0315560469339009,-0.037870541324427,0.00708139750751539,-0.0814934054320555,0.0288743850687223,-0.0352625731902364,0.00351336034082186,-0.0854272462698954,0.0283568326966278,-0.0363083294696752,0.0037199908638933
"beta.i12",0.0114873062990333,0.00420893996067731,-0.0109233925527949,0.000864424118785425,0.0124909571168821,0.00379521474908123,-0.0103364936653249,0.00047108679840993,0.0134243399855986,0.00383436852752552,-0.0103277709731859,0.000463150650904261
"beta.i13",0.0257600822557727,0.015075779658854,-0.0208058065189266,0.00316893477496933,0.0253480226274166,0.0137253080176518,-0.0253831892298767,0.00178772750360289,0.0307909630806713,0.0136902404259139,-0.0253772362921198,0.00181020311305599
"beta.i21",0.0210215118438971,0.0326894645474433,0.0634859745649123,0.0336192922562198,-0.00673093451277832,0.0296521404803007,0.0544067333345712,0.0357116747031647,-0.00736993213529259,0.0362416199852498,0.0419019664329314,0.0328064662898945
"beta.i22",-0.0120930394576902,0.00348306580655946,-0.00945476471309078,0.00369158293459385,-0.0121559077479914,0.00301421890560483,-0.00480744151059459,0.00387918390313578,-0.0121423987472091,0.00348261674662642,-0.00818694243885831,0.00367633876462063
"beta.i23",0.0349774143515533,0.0135782053672297,0.0288714866086564,0.0150322569197398,0.0376182404068741,0.0117007352614523,0.0173948069316607,0.0158364440618907,0.0355198174039444,0.0133949265660953,0.0309016014381415,0.0151617740451984
"beta.i31",-0.091633177077735,0.0338192203745476,-0.0316217551158074,0.0232203260163667,-0.119374726297616,0.0254184718230092,-0.0134846828187337,0.0223061392771386,-0.108219540720929,0.0336167369650291,-0.0210447306339204,0.0304018714012978
"beta.i32",-0.0163853118999316,0.00432624975367421,-0.00881411874832738,0.0038664819039158,-0.0176340748025362,0.00354784478997957,-0.00674963222439967,0.00431863914119864,-0.0188032368728778,0.00486301321069224,-0.00707756479518108,0.00494941758561982
"beta.i33",0.113465399823289,0.0137748471594877,0.0083227184924236,0.0119971699727557,0.113209052454512,0.0116490610187298,-0.00416237024571937,0.0133981481309682,0.120676192224913,0.0158855378304611,-0.00155928723707026,0.016787930665045
"beta.i41",-0.0810950109579224,0.0310586924559897,-0.103221439690281,0.0335360515573668,-0.0698843738160158,0.027016037542405,-0.133654293627218,0.043505762890918,-0.0766512495126245,0.0309611287313924,-0.107131767786759,0.0329896745610307
"beta.i42",-0.0174974942628802,0.00344147967537641,-0.0177830378292548,0.00345302876144497,-0.0169416288890762,0.00265230660499684,-0.0227081437862048,0.00532914618156045,-0.0171914354638124,0.00311583531580002,-0.0185053392104395,0.00343871457700752
"beta.i43",0.0690347095260051,0.0120105489214064,0.0804000437599449,0.0138558127130251,0.061164099806341,0.00933531459049222,0.110818505727367,0.017891779472461,0.0628066075664817,0.0110115768293505,0.083557646755851,0.0134585078173385
"sig.i11",0.740088911520808,0.0454403539459751,0.0197136350470181,0.00253853683278684,0.564234179710137,0.050776848286426,0.00876878110323095,0.000742735860165355,0.531513954262614,0.0520231577672098,0.00770270079387734,0.000734599801358616
"sig.i21",0.0208278947846492,0.0394801511534016,-0.000168774427536486,0.0107408696153938,0.0230177584281508,0.0334460875265156,0.00522579170927404,0.00548804359499704,0.0271822371783979,0.0394402347285197,0.00405467967462755,0.00479167876408331
"sig.i22",0.872235703215092,0.041977421453291,0.867814431625468,0.0830385916826383,0.593061870132375,0.041631224809538,1.08561900712272,0.0754692044441255,0.659837883736352,0.0565563010281813,0.816363692068943,0.0689326877038024
"sig.i31",-0.158748593280837,0.0638136870447345,0.0139113966182766,0.00493273705645758,-0.0200317538874945,0.0302103846403965,0.00666612403197816,0.00292213543583907,-0.113295306399336,0.0429884771479989,0.00617855102293286,0.00229452273210649
"sig.i32",-0.047309236635164,0.0536556126954716,0.0123836119121795,0.0269838234454497,-0.0379442553766939,0.0289834355153261,0.0298157848022496,0.0273590407306019,-0.0448382347130955,0.0484801237883537,0.0193072543581851,0.0228596211671662
"sig.i33",0.950920001148202,0.0385684492524686,0.0403035248005878,0.0105593665303469,0.389678170385965,0.0339214162627047,0.0200295374074658,0.00706092842194607,0.586039940573671,0.0513174232329175,0.0177645801878393,0.00579110204888469
"sig.i41",-0.10740302295067,0.0387423084621647,0.0112535676154275,0.00950522286225095,-0.0640477682145855,0.0276537047309401,0.018921221703459,0.00723233426065256,-0.0820723801656393,0.03566168226893,0.0131474019357766,0.00464610637724435
"sig.i42",-0.232953348543346,0.0411417952359611,-0.265585247541129,0.0567373893892691,-0.121222582863653,0.0276077112075759,-0.313353631011094,0.0734464161948948,-0.145719032175012,0.0384876207980101,-0.253803404576482,0.0468404039459453
"sig.i43",0.14467319688744,0.0332276909807615,0.00286040183775603,0.022712839990996,0.076889209510354,0.0255170299007513,-0.0119980085492489,0.0484376034288744,0.100317979476302,0.0402448494304175,-0.00258663963865424,0.0189499558907252
"sig.i44",0.616322054515819,0.0345603426261281,0.710172380555106,0.0703742041123126,0.400145412392156,0.0312281962563926,1.20645698322415,0.0643586199680749,0.456631349635209,0.0442025617603891,0.627142811128463,0.0579964016468859
"nui",0,0,4.50000000000049,0.0672891384891672,0.0887185196950507,0.0206428806803122,0,0,6.24892294322825,0.041981386500952,0.111678153943619,0.0261144909323802
"rhoi",1,0,0,0,0.12113217912065,0.0163857441101392,1,0,0,0,0.140636682621061,0.0197814151520603
